"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1409997940063","15.2119998931885","15.2550001144409","15.2410001754761","15.21399974823","15.2419996261597","15.0500001907349","14.875","14.7519998550415","14.6789999008179","14.6339998245239","14.8199996948242","15.0640001296997","15.3229999542236","15.5699996948242","15.8009996414185","15.5299997329712","15.2679996490479","15.0570001602173","14.9379997253418","14.9350004196167","15.33899974823","15.8500003814697","16.7649993896484","17.7350006103516","18.7600002288818","19.8400001525879","20.9729995727539","21.4160003662109","21.5949993133545","21.7709999084473",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.9089965820313","75.8570022583008","75.8209991455078","75.8460006713867","75.8000030517578","75.7269973754883","75.6890029907227","75.6719970703125","75.6620025634766","75.6500015258789","75.6240005493164","75.6129989624023","75.5630035400391","75.5410003662109","75.5120010375977","75.4929962158203","75.5240020751953","75.5599975585938","75.6110000610352","75.6959991455078","75.7669982910156","75.8509979248047","75.9100036621094","75.9710006713867","76.0189971923828","76.0650024414063","76.1080017089844","76.129997253418","76.1419982910156","76.1360015869141","76.1159973144531",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7270011901855","56.2779998779297","56.7019996643066","55.6749992370605","54.7649993896484","53.5260009765625","52.8089981079102","53.5970001220703","52.9090003967285","52","51.4790000915527","50.7760009765625","50.3129997253418","49.4900016784668","48.6949996948242","47.943000793457","47.3450012207031","46.818000793457","46.3339996337891","45.0019989013672","45.7610015869141","46.5149993896484","47.3709983825684","43.3110008239746","43.2970008850098","46.1020011901855","46.451000213623","46.7949981689453","46.798999786377","46.7120018005371","46.6030006408691",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3414262904095","19.4097377711673","19.3494048611031","19.4840677534113","19.8648557904402","19.8022181987727","19.6995455323643","19.4798344416169","19.3420563641806","19.8338244877005","19.9236309432671","19.9179976011015","19.5293894928205","19.8170626844491","19.9765983749754","20.1065163696134","20.2880135333043","20.8114717742359","20.5115518424171","20.7433100481432","20.8421734783906","20.8695046607301","21.0810404753783","21.4176690266998","21.3818365334596","21.252923793042","21.3864019857053","20.7789988201849","20.7413323187911","20.770009237606","20.7847807746156",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0909996032715","28.875","29.5540008544922","30.4710006713867","30.9039993286133","31.2830009460449","31.5839996337891","31.9950008392334","32.5369987487793","33.1669998168945","33.8019981384277","34.1520004272461","34.7070007324219","35.4529991149902","36.3419990539551","37.2939987182617","38.4189987182617","39.7179985046387","41.1699981689453","42.7120018005371","44.2509994506836","45.3650016784668","46.5550003051758","47.8349990844727","49.1959991455078","50.5880012512207","51.4160003662109","52.5320014953613","52.3520011901855","52.390998840332","52.4819984436035",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4570007324219","46.1969985961914","46.9010009765625","47.6800003051758","48.2630004882813","48.0180015563965","48.6290016174316","49.507999420166","50.0069999694824","49.7949981689453","49.826000213623","49.523998260498","48.5009994506836","49.3720016479492","50.2649993896484","49.6110000610352","50.1300010681152","49.1959991455078","48.2779998779297","48.9630012512207","47.9519996643066","48.2280006408691","48.3240013122559","47.9420013427734","47.318000793457","48.015998840332","48.6990013122559","49.3699989318848","50.8219985961914","50.7210006713867","50.6150016784668",
"Armenia","ARM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4469985961914","47.3959999084473","47.2770004272461","47.101001739502","46.8930015563965","46.6669998168945","46.4710006713867","46.2970008850098","46.1319999694824","45.9469985961914","45.726001739502","45.5390014648438","45.3160018920898","45.1040000915527","44.9729995727539","44.9659996032715","45.0349998474121","45.2200012207031","45.4059982299805","45.8629989624023","47.2299995422363","49.7459983825684","50.1220016479492","50.4679985046387","49.8030014038086","49.0330009460449","47.2949981689453","47.1440010070801","47.0900001525879","47.0740013122559","46.9910011291504",
"American Samoa","ASM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
